Epoch:[398] | Avg rBpp: 0.4212667 | Avg dBpp: 0.0303929 | Avg rPSNR: 38.3237323 | Avg dPSNR: 52.1509326 | Avg rMS-SSIM: 0.9904590 | Avg dMS-SSIM: 0.9985869 | Avg Encoding Latency: 0.254227 | Avg Decoding latency: 0.349464
../experiments/nyuv2_ELIC_cpf_dec_4_4/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.3101115 | Avg dBpp: 0.0204605 | Avg rPSNR: 37.7652835 | Avg dPSNR: 50.4439664 | Avg rMS-SSIM: 0.9861330 | Avg dMS-SSIM: 0.9978165 | Avg Encoding Latency: 0.606579 | Avg Decoding latency: 0.907475
../experiments/nyuv2_ELIC_cpf_dec_3_3/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2171128 | Avg dBpp: 0.0135512 | Avg rPSNR: 36.1906469 | Avg dPSNR: 48.0953057 | Avg rMS-SSIM: 0.9800610 | Avg dMS-SSIM: 0.9966689 | Avg Encoding Latency: 0.619927 | Avg Decoding latency: 0.898185
../experiments/nyuv2_ELIC_cpf_dec_5_5/codestream/399-padding-replicate0 Epoch:[398] | Avg rBpp: 0.4426631 | Avg dBpp: 0.0299396 | Avg rPSNR: 39.2249659 | Avg dPSNR: 52.1574909 | Avg rMS-SSIM: 0.9907709 | Avg dMS-SSIM: 0.9985564 | Avg Encoding Latency: 0.571758 | Avg Decoding latency: 0.926234
../experiments/nyuv2_ELIC_cpf_dec_2_2/codestream/396-padding-replicate0 Epoch:[395] | Avg rBpp: 0.1519188 | Avg dBpp: 0.0089301 | Avg rPSNR: 34.8038841 | Avg dPSNR: 45.9214813 | Avg rMS-SSIM: 0.9723045 | Avg dMS-SSIM: 0.9947385 | Avg Encoding Latency: 0.601278 | Avg Decoding latency: 0.921590
../experiments/nyuv2_ELIC_cpf_dec_sp_5_5/codestream/400-padding-replicate0 Epoch:[399] | Avg rBpp: 0.4524258 | Avg dBpp: 0.0296369 | Avg rPSNR: 39.1511259 | Avg dPSNR: 52.1882210 | Avg rMS-SSIM: 0.9909361 | Avg dMS-SSIM: 0.9985433 | Avg Encoding Latency: 0.225811 | Avg Decoding latency: 0.465976
../experiments/nyuv2_ELIC_cpf_dec_sp_4_4/codestream/396-padding-replicate0 Epoch:[395] | Avg rBpp: 0.3075992 | Avg dBpp: 0.0201969 | Avg rPSNR: 37.8877546 | Avg dPSNR: 50.2751736 | Avg rMS-SSIM: 0.9861309 | Avg dMS-SSIM: 0.9978320 | Avg Encoding Latency: 0.224641 | Avg Decoding latency: 0.468938
../experiments/nyuv2_ELIC_cpf_dec_sp_3_3/codestream/399-padding-replicate0 Epoch:[398] | Avg rBpp: 0.2139822 | Avg dBpp: 0.0131694 | Avg rPSNR: 36.2402375 | Avg dPSNR: 48.0344075 | Avg rMS-SSIM: 0.9801194 | Avg dMS-SSIM: 0.9966707 | Avg Encoding Latency: 0.221669 | Avg Decoding latency: 0.459589
../experiments/nyuv2_ELIC_cpf_dec_sp_2_2/codestream/387-padding-replicate0 Epoch:[386] | Avg rBpp: 0.1479369 | Avg dBpp: 0.0087995 | Avg rPSNR: 34.9105213 | Avg dPSNR: 45.7211783 | Avg rMS-SSIM: 0.9720582 | Avg dMS-SSIM: 0.9947478 | Avg Encoding Latency: 0.215045 | Avg Decoding latency: 0.447060
../experiments/nyuv2_ELIC_cpf_enc_sp_2_2/codestream/395-padding-replicate0 Epoch:[394] | Avg rBpp: 0.1559488 | Avg dBpp: 0.0110716 | Avg rPSNR: 34.7019608 | Avg dPSNR: 44.6751456 | Avg rMS-SSIM: 0.9724245 | Avg dMS-SSIM: 0.9932225 | Avg Encoding Latency: 0.648522 | Avg Decoding latency: 0.842931
../experiments/nyuv2_ELIC_cpf_enc_sp_4_4/codestream/396-padding-replicate0 Epoch:[395] | Avg rBpp: 0.3231685 | Avg dBpp: 0.0261648 | Avg rPSNR: 37.8540112 | Avg dPSNR: 49.3787796 | Avg rMS-SSIM: 0.9863632 | Avg dMS-SSIM: 0.9974909 | Avg Encoding Latency: 0.658916 | Avg Decoding latency: 0.858579
../experiments/nyuv2_ELIC_cpf_enc_sp_3_3/codestream/397-padding-replicate0 Epoch:[396] | Avg rBpp: 0.2244819 | Avg dBpp: 0.0173380 | Avg rPSNR: 36.3072996 | Avg dPSNR: 47.3833965 | Avg rMS-SSIM: 0.9802645 | Avg dMS-SSIM: 0.9962037 | Avg Encoding Latency: 0.644436 | Avg Decoding latency: 0.864800
../experiments/nyuv2_ELIC_cpf_enc_sp_5_5/codestream/396-padding-replicate0 Epoch:[395] | Avg rBpp: 0.4694940 | Avg dBpp: 0.0386078 | Avg rPSNR: 39.4524266 | Avg dPSNR: 51.2798163 | Avg rMS-SSIM: 0.9909351 | Avg dMS-SSIM: 0.9984041 | Avg Encoding Latency: 0.630710 | Avg Decoding latency: 0.918137
../experiments/nyuv2_ELIC_cpf_dec_5_5/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.4426973 | Avg dBpp: 0.0299557 | Avg rPSNR: 39.2048018 | Avg dPSNR: 52.0224139 | Avg rMS-SSIM: 0.9907925 | Avg dMS-SSIM: 0.9985601 | Avg Encoding Latency: 0.271542 | Avg Decoding latency: 0.526511
../experiments/nyuv2_ELIC_cpf_dec_4_4/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.3101115 | Avg dBpp: 0.0204605 | Avg rPSNR: 37.7652835 | Avg dPSNR: 50.4439664 | Avg rMS-SSIM: 0.9861330 | Avg dMS-SSIM: 0.9978165 | Avg Encoding Latency: 0.268879 | Avg Decoding latency: 0.540281
